Object_ID,Location,City,Housing_Units,Year_Built,Monthly_Rent_Range,Latitude,Longitude
131,Nigeria,Gwandu,5,2013,120897,6.74,3.42
132,Nigeria,Ete,4,2020,105212,7.01,3.81
133,Nigeria,Ozubulu,5,2013,69411,8.41,2.76
134,Nigeria,Madagali,1,2020,74278,9.26,4.36
135,Nigeria,Omuo-Ekiti,3,2018,109700,7.1,4.33
136,Nigeria,Okpoma,2,2017,117997,8.64,4.29
137,Nigeria,Kaingiwa,1,2019,115480,8.26,2.72
138,Nigeria,Maru,1,2023,190375,7.71,3.24
139,Nigeria,Bida,1,2017,181670,8.95,4.5
140,Nigeria,Ndeaboh,4,2013,129496,8.13,3.89
141,Nigeria,Pankshin,3,2019,71588,7.81,5.83
142,Nigeria,Lokoja,5,2017,96451,6.59,5.69
143,Nigeria,Kaiama,1,2018,101473,7.85,5.54
144,Nigeria,Argungu,2,2018,138830,8.44,4.19
145,Nigeria,Misau,5,2014,205417,7.34,4.43
146,Nigeria,Numan,1,2020,212955,7.1,4.75
147,Nigeria,Gwaram,5,2015,149210,6.88,5.8
148,Nigeria,Madala,3,2016,60529,8.05,3.7
149,Nigeria,Mashi,3,2013,141516,7.44,4.16
150,Nigeria,Ebute Ikorodu,4,2019,224633,6.81,5.07
151,Nigeria,Illushi,3,2018,102269,9.27,5.52
152,Nigeria,Abeokuta,5,2018,103859,8.33,5.43
153,Nigeria,Dankama,4,2018,119070,8.28,3.91
154,Nigeria,Takai,1,2017,110113,8.18,4.31
155,Nigeria,Toungo,3,2013,103379,8.53,3.72
156,Nigeria,Ogoja,1,2021,143542,7.91,3.16
157,Nigeria,Mberubu,5,2018,236014,6.33,5.49
158,Nigeria,Ilare,4,2016,213543,7.95,4.48
159,Nigeria,Kachia,3,2016,170875,7.56,5.47
160,Nigeria,Matsena,5,2020,118576,7.44,3.17
161,Nigeria,Otukpa,1,2023,221759,7.02,5.73
162,Nigeria,Okrika,1,2020,205707,7.06,5.35
163,Nigeria,Tegina,3,2016,153021,8.48,3.21
164,Nigeria,Amper,3,2015,172479,7.08,3.3
165,Nigeria,Madagali,3,2018,77368,9.3,4.49
166,Nigeria,Elele,5,2016,162309,8.37,2.97
167,Nigeria,Pindiga,3,2016,95278,6.61,3.63
168,Nigeria,Itu,3,2018,245738,7.76,5.82
169,Nigeria,Jalingo,4,2022,71843,9.22,4.95
170,Nigeria,Kujama,4,2018,232798,8.02,3.64
171,Nigeria,Geidam,2,2022,193457,8.65,3.41
172,Nigeria,Nafada,2,2020,227739,8.42,4.25
173,Nigeria,Boju,1,2020,218508,8.32,2.83
174,Nigeria,Yenagoa,3,2015,202796,6.91,3.67
175,Nigeria,Damaturu,3,2015,119912,6.65,5.57
176,Nigeria,Esuk Oron,3,2022,75748,7.42,4.77
177,Nigeria,Ijebu-Ife,3,2018,160934,6.95,5.52
178,Nigeria,Kumagunnam,4,2013,154039,8.29,4.77
179,Nigeria,Abuochiche,2,2016,131990,7.98,5.27
180,Nigeria,Oke Ila,3,2013,95740,7.81,2.75
181,Nigeria,Lere,2,2014,192179,7.42,3.61
182,Nigeria,Abeokuta,2,2022,227383,8.13,3.78
183,Nigeria,Okuta,1,2022,81081,7.52,5.44
184,Nigeria,Kazaure,2,2013,157949,6.35,3.69
185,Nigeria,Zaki Biam,3,2020,55985,7.9,5.4
186,Nigeria,Bassa,4,2022,208204,8.44,2.81
187,Nigeria,Geidam,1,2018,204394,8.18,5.26
188,Nigeria,Orita Eruwa,5,2021,80994,8.33,4.13
189,Nigeria,Dindima,3,2023,87849,6.57,4.75
190,Nigeria,Ijebu-Ife,4,2020,238232,7.71,4.91
191,Nigeria,Bode Sadu,5,2015,164832,9.25,3.8
192,Nigeria,Neni,3,2020,82394,6.55,4.98
193,Nigeria,Bokani,5,2013,216926,6.78,2.85
194,Nigeria,Katagum,1,2021,238640,6.37,2.97
195,Nigeria,Ikot-Ekpene,3,2018,161398,8.97,3.56
196,Nigeria,Gumel,2,2013,123821,7.92,5.28
197,Nigeria,Siluko,5,2016,229756,7.96,3.64
198,Nigeria,Abonnema,1,2015,245352,6.56,2.67
199,Nigeria,Katsina,4,2020,222203,9.08,3.86
200,Nigeria,Obiaruku Quarters,5,2015,121219,8.81,4.65
201,Nigeria,Nguru,3,2014,73509,9.1,5.52
202,Nigeria,Dutsin Ma,5,2023,182749,7.97,5.43
203,Nigeria,Shinkafe,5,2014,52135,7.17,4.05
204,Nigeria,Shaffa,3,2023,215960,8.14,5.94
205,Nigeria,Aba,5,2015,148584,8.59,4.48
206,Nigeria,Sofo-Birnin-Gwari,1,2018,204630,8.2,2.97
207,Nigeria,Abuja,2,2018,145408,8.76,5.1
208,Nigeria,Gwandu,5,2017,60970,8.89,3.69
209,Nigeria,Oji River,1,2018,52847,9.03,4.16
210,Nigeria,Abuochiche,1,2014,143143,8.59,5.25
211,Nigeria,Esuk Oron,1,2020,211759,6.34,3.98
212,Nigeria,Dadiya,1,2021,246797,8.92,5.14
213,Nigeria,Ndeaboh,4,2017,77716,7.46,5.89
214,Nigeria,Tambawel,4,2022,58376,9.36,4.7
215,Nigeria,Biliri,3,2016,133003,7.59,5.83
216,Nigeria,Kwale,3,2013,151318,7.34,3.41
217,Nigeria,Yashikera,4,2020,177466,6.35,3.4
218,Nigeria,Offa,4,2020,106118,6.95,5.66
219,Nigeria,Illushi,4,2013,110829,6.73,4.97
220,Nigeria,Otan Aiyegbaju,2,2016,80460,6.37,4.21
221,Nigeria,Benisheikh,1,2022,121078,6.42,4.64
222,Nigeria,Konkwesso,5,2021,111002,9.32,5.6
223,Nigeria,Ake-Eze,2,2014,181028,8.84,5.13
224,Nigeria,Igbo-Ukwu,2,2023,178413,8.45,3.84
225,Nigeria,Disina,5,2023,87061,8.12,3.55
226,Nigeria,Mando,2,2013,120740,8.58,4.14
227,Nigeria,Zungeru,1,2019,234916,8.92,2.92
228,Nigeria,Lafia,2,2013,115712,8.78,5.4
229,Nigeria,Maiduguri,5,2016,186645,8.77,2.88
230,Nigeria,Okpoma,5,2023,237739,9.26,5.85
231,Nigeria,Badeggi,1,2019,74719,6.84,5.66
232,Nigeria,Konkwesso,4,2021,108255,8.15,5.34
233,Nigeria,Miringa,1,2013,84670,9.03,5.29
234,Nigeria,Zaki Biam,3,2019,110120,7.43,3.59
235,Nigeria,Keffin Hausa,5,2018,53905,9.3,5.49
236,Nigeria,Kajuru,4,2014,95222,6.36,5.65
237,Nigeria,Yola,1,2019,107167,6.56,2.91
238,Nigeria,Yandev,1,2018,66334,6.78,4.83
239,Nigeria,Wuyo,2,2016,108139,7.84,4.91
240,Nigeria,Ugba,2,2015,238393,9.27,5.18
241,Nigeria,Kuta,5,2017,83137,6.58,3.81
242,Nigeria,Ukata,2,2023,241032,9.24,2.83
243,Nigeria,Rabah,4,2016,57488,6.95,5.01
244,Nigeria,Igbo-Ukwu,2,2022,82334,6.44,5.28
245,Nigeria,Bauchi,3,2019,78367,8.0,5.27
246,Nigeria,Kuje,5,2021,67220,7.41,4.21
247,Nigeria,Ugep,4,2014,186436,8.99,5.93
248,Nigeria,Aku,5,2020,197568,6.51,5.94
249,Nigeria,Ibeto,2,2017,125551,8.69,2.89
250,Nigeria,Ode,3,2013,79323,8.69,2.88
251,Nigeria,Awgu,4,2017,145138,8.75,3.01
252,Nigeria,Bokkos,5,2023,55466,9.34,4.83
253,Nigeria,Biliri,1,2021,60081,8.92,5.04
254,Nigeria,Ikang,1,2023,184734,7.01,5.62
255,Nigeria,Amaigbo,4,2015,146892,8.23,4.84
256,Nigeria,Jibiya,1,2015,131903,8.28,4.46
257,Nigeria,Uyo,3,2019,204844,7.83,4.68
258,Nigeria,Kwolla,5,2015,177096,6.63,4.74
259,Nigeria,Wurno,5,2013,92999,8.09,4.87
260,Nigeria,Talata Mafara,4,2023,91396,8.38,4.7
261,Nigeria,Shanga,2,2021,181073,8.92,3.94
262,Nigeria,Zango,5,2013,65126,8.8,2.79
263,Nigeria,Abakaliki,1,2018,217648,6.46,5.81
264,Nigeria,Sokoto,2,2013,211466,8.73,5.74
265,Nigeria,Nassarawa,1,2020,135349,9.27,3.57
266,Nigeria,Idah,1,2015,116429,8.48,2.7
267,Nigeria,Obiaruku Quarters,2,2015,139841,9.08,4.46
268,Nigeria,Fika,4,2016,211054,8.33,3.97
269,Nigeria,Tokombere,1,2019,229957,6.56,4.5
270,Nigeria,Effium,5,2022,187418,8.25,5.4
271,Nigeria,Bugana,4,2019,212095,7.17,4.57
272,Nigeria,Dadiya,5,2014,203033,9.31,5.42
273,Nigeria,Idanre,5,2020,188484,7.77,5.73
274,Nigeria,Yandev,5,2022,100834,7.2,3.85
275,Nigeria,Gujba,2,2017,123259,8.41,5.86
276,Nigeria,Madagali,1,2018,227004,8.8,4.38
277,Nigeria,Holma,1,2016,221756,9.18,3.16
278,Nigeria,Gorgoram,4,2018,125060,7.59,4.79
279,Nigeria,Akure,1,2019,125355,6.7,4.79
280,Nigeria,Sauri,4,2013,162374,8.26,2.77
281,Nigeria,Numan,2,2018,209491,8.49,5.29
282,Nigeria,Adani,5,2017,152093,7.08,3.95
283,Nigeria,Sauri,2,2014,141403,8.22,5.67
284,Nigeria,Suleja,5,2014,53079,9.35,3.55
285,Nigeria,Samamiya,1,2018,183676,9.09,4.67
286,Nigeria,Ugep,1,2014,244434,8.69,5.46
287,Nigeria,Gandi,1,2017,87805,7.66,4.37
288,Nigeria,Ilesa,5,2023,114577,8.3,5.83
289,Nigeria,Orodo,5,2020,148081,8.57,5.38
290,Nigeria,Sokoto,2,2020,66647,7.4,3.12
291,Nigeria,Onueke,1,2023,132799,7.36,5.83
292,Nigeria,Dindima,3,2022,85903,7.43,5.34
293,Nigeria,New Shagunnu,1,2013,197195,6.63,5.47
294,Nigeria,Bununu Dass,4,2020,82110,8.18,5.32
295,Nigeria,Obubra,3,2013,180091,7.28,5.23
296,Nigeria,Ifo,4,2017,242124,7.32,3.28
297,Nigeria,Orodo,1,2022,171465,8.23,4.41
298,Nigeria,Obonoma,1,2020,85319,7.67,5.7
299,Nigeria,Onitsha,2,2016,244147,7.08,4.66
300,Nigeria,Ugep,4,2013,160965,8.02,4.32
301,Nigeria,Okpoma,4,2019,209957,8.15,3.44
302,Nigeria,Nkpor,1,2016,120446,8.85,4.19
303,Nigeria,Ipoti,2,2018,238160,8.61,4.44
304,Nigeria,Kwale,4,2015,81053,7.9,5.55
305,Nigeria,Badeggi,2,2013,62971,9.0,5.33
306,Nigeria,Anchau,3,2020,110390,8.45,3.62
307,Nigeria,Ochobo,1,2016,111017,7.52,3.34
308,Nigeria,Oji River,5,2021,77305,8.48,2.96
309,Nigeria,Katsina,3,2016,229245,6.98,3.31
310,Nigeria,Riti,1,2018,199195,7.26,2.74
311,Nigeria,Wudil,4,2021,122019,8.83,3.21
312,Nigeria,Geidam,2,2015,134472,6.39,4.7
313,Nigeria,Damasak,4,2017,234785,6.35,4.66
314,Nigeria,Gorgoram,5,2018,232288,8.25,5.15
315,Nigeria,Oke Ila,4,2017,176260,7.8,2.76
316,Nigeria,Gusau,3,2018,79639,7.88,5.5
317,Nigeria,Zaria,3,2014,183373,9.03,5.58
318,Nigeria,Jibiya,3,2019,100949,8.96,4.97
319,Nigeria,Wushishi,3,2020,190341,7.2,5.55
320,Nigeria,Jimeta,2,2018,90369,7.81,4.19
321,Nigeria,Ajasse Ipo,4,2016,154024,7.87,2.98
322,Nigeria,Igbor,5,2018,103535,7.69,5.3
323,Nigeria,Yuli,5,2014,229901,6.39,4.05
324,Nigeria,Badagry,1,2014,135395,6.46,5.25
325,Nigeria,Ipoti,3,2014,147826,6.94,3.51
326,Nigeria,Orlu,4,2018,192130,8.22,5.49
327,Nigeria,Rabah,1,2021,216215,8.45,5.77
328,Nigeria,Aku,3,2022,133647,9.06,4.98
329,Nigeria,Abua,2,2017,239358,6.8,4.47
330,Nigeria,Shinkafe,5,2022,230792,7.68,5.09
331,Nigeria,Amaigbo,1,2019,223779,7.6,4.42
332,Nigeria,Toungo,4,2021,129861,8.75,4.7
333,Nigeria,Jos,4,2015,98630,7.75,3.38
334,Nigeria,Ipoti,2,2023,236516,6.53,5.28
335,Nigeria,Holma,2,2016,129287,7.56,4.71
336,Nigeria,Omoku,2,2019,87451,9.05,5.88
337,Nigeria,Orlu,2,2013,224349,9.12,3.18
338,Nigeria,Effium,5,2013,182189,8.37,3.35
339,Nigeria,Tegina,5,2019,85854,8.2,4.04
340,Nigeria,Mokwa,5,2015,179744,7.97,5.01
341,Nigeria,Ogurugu,2,2019,84159,7.17,3.9
342,Nigeria,Ondo,5,2020,139988,8.09,5.92
343,Nigeria,Kuje,4,2016,161393,7.47,2.9
344,Nigeria,Saki,3,2023,215027,9.14,4.38
345,Nigeria,Shagamu,5,2013,104378,7.2,3.28
346,Nigeria,Modakeke,4,2019,170681,6.78,3.54
347,Nigeria,Miringa,2,2017,249645,7.67,4.9
348,Nigeria,Uruobo-Okija,2,2020,123451,6.69,4.25
349,Nigeria,Monguno,2,2019,239128,8.3,3.0
350,Nigeria,Ifon,3,2016,87397,8.73,4.54
351,Nigeria,Neni,2,2023,53336,7.45,4.23
352,Nigeria,Pategi,5,2022,90799,7.2,5.88
353,Nigeria,Sankera,3,2021,121119,8.69,4.21
354,Nigeria,Bokani,4,2023,132711,8.79,3.08
355,Nigeria,Lapai,5,2018,177028,8.0,4.58
356,Nigeria,Sankera,5,2016,208406,8.89,4.63
357,Nigeria,Akankpa,2,2023,133686,6.53,4.62
358,Nigeria,Rijau,1,2018,78195,6.7,3.09
359,Nigeria,Gagarawa,4,2020,112735,9.28,4.33
360,Nigeria,Lere,3,2019,154247,7.28,2.93
361,Nigeria,Bassa,3,2013,235453,7.67,3.19
362,Nigeria,Orodo,5,2013,234206,7.43,4.63
363,Nigeria,Hunkuyi,3,2015,90268,6.61,2.78
364,Nigeria,Suya,2,2022,72496,7.89,4.51
365,Nigeria,Fika,1,2014,112068,6.92,5.23
366,Nigeria,Ilare,3,2022,145064,6.72,5.1
367,Nigeria,Dakingari,4,2019,176432,8.76,3.62
368,Nigeria,Dan Sadau,4,2022,231089,6.53,5.26
369,Nigeria,Maru,5,2014,74270,7.55,4.09
370,Nigeria,Damasak,3,2014,163781,9.22,3.86
371,Nigeria,Offa,4,2016,79197,8.33,5.74
372,Nigeria,Rabah,5,2017,83268,9.03,3.46
373,Nigeria,Gambaru,2,2014,69337,8.91,3.92
374,Nigeria,Boju,1,2015,235366,7.49,5.17
375,Nigeria,Kujama,4,2014,173108,9.09,5.96
376,Nigeria,Sokoto,2,2019,69793,8.33,3.88
377,Nigeria,Orodo,3,2016,85393,6.67,3.98
378,Nigeria,Yajiwa,5,2019,111139,6.53,3.0
379,Nigeria,Mashi,5,2023,88583,7.45,5.23
380,Nigeria,Gwaram,5,2020,133164,7.56,4.25
381,Nigeria,Bukuru,4,2019,248671,7.29,3.17
382,Nigeria,Kazaure,4,2018,89282,8.43,3.98
383,Nigeria,Maru,1,2019,178089,8.18,3.06
384,Nigeria,Uyo,3,2021,200967,8.5,3.56
385,Nigeria,Boju,1,2014,210542,8.68,2.9
386,Nigeria,Ruma,4,2019,124673,7.68,2.82
387,Nigeria,Kiyawa,2,2014,246102,6.57,5.61
388,Nigeria,Abonnema,1,2020,109929,8.22,5.7
389,Nigeria,Suya,4,2018,154938,6.73,5.96
390,Nigeria,Nsukka,1,2014,192809,7.35,2.97
391,Nigeria,Dabai,4,2018,69189,6.54,4.89
392,Nigeria,Kazaure,5,2018,249199,8.51,4.17
393,Nigeria,Fika,1,2020,215697,8.51,5.7
394,Nigeria,Omu Aran,4,2020,100186,8.51,5.11
395,Nigeria,Wagini,1,2022,78298,8.15,3.33
396,Nigeria,Mafa,3,2022,55981,7.06,2.85
397,Nigeria,Bin Yauri,2,2020,160181,8.02,5.29
398,Nigeria,Onueke,1,2020,132542,6.39,2.69
399,Nigeria,Iwo,1,2015,118603,7.27,4.61
400,Nigeria,Kwolla,4,2015,153982,9.18,3.43
401,Nigeria,Bama,5,2018,54544,8.12,4.34
402,Nigeria,Hunkuyi,3,2022,81170,7.87,5.96
403,Nigeria,Mutum Biyu,5,2014,132703,9.0,5.87
404,Nigeria,Shanga,2,2019,59282,9.01,5.01
405,Nigeria,Okpoma,2,2022,163090,7.17,3.22
406,Nigeria,Kaingiwa,2,2021,94739,7.63,2.85
407,Nigeria,Neni,4,2019,120587,9.37,3.78
408,Nigeria,Gora,5,2017,234066,7.52,5.06
409,Nigeria,Agbor,1,2023,191167,7.33,4.43
410,Nigeria,Okpo,3,2019,203787,8.34,2.97
411,Nigeria,Maiyema,1,2015,246140,9.33,5.1
412,Nigeria,Egbe,2,2017,241424,8.51,3.56
413,Nigeria,Ake-Eze,4,2022,242190,8.98,4.04
414,Nigeria,Opi,2,2023,150081,7.0,3.85
415,Nigeria,Yenagoa,2,2018,239378,7.84,4.99
416,Nigeria,Argungu,5,2018,108185,9.29,5.93
417,Nigeria,Umuahia,1,2019,67823,7.75,2.81
418,Nigeria,Zadawa,1,2013,226543,9.06,3.71
419,Nigeria,Wuyo,5,2020,105346,8.65,5.94
420,Nigeria,Keffin Hausa,4,2014,202897,6.49,3.32
421,Nigeria,Oyo,4,2020,73477,8.63,2.67
422,Nigeria,Igbo Ora,5,2013,197630,6.69,4.13
423,Nigeria,Kura,5,2021,243982,7.55,4.15
424,Nigeria,Bununu Dass,4,2014,101348,9.1,2.71
425,Nigeria,Nnewi,5,2022,133554,6.71,2.88
426,Nigeria,Ozubulu,5,2019,183851,9.25,3.07
427,Nigeria,Badeggi,5,2018,90864,8.18,5.02
428,Nigeria,Oke Ila,3,2019,197120,8.08,4.21
429,Nigeria,Auna,1,2018,129326,8.09,5.24
430,Nigeria,Okigwi,3,2016,186233,8.77,5.23
431,Nigeria,Abakaliki,5,2013,203450,9.05,3.98
432,Nigeria,Aba,3,2020,161545,9.23,3.7
433,Nigeria,Mutum Biyu,3,2017,239226,8.33,2.96
434,Nigeria,Amper,2,2022,112147,8.48,3.44
435,Nigeria,Ete,4,2017,241196,8.55,5.45
436,Nigeria,Omuo-Ekiti,2,2014,104685,8.89,4.09
437,Nigeria,Kaiama,2,2016,229259,8.2,3.79
438,Nigeria,Lalupon,5,2018,117529,7.12,4.08
439,Nigeria,Soba,4,2023,80222,8.38,3.29
440,Nigeria,Kuje,1,2015,216834,7.6,4.84
441,Nigeria,Badagry,4,2018,140858,7.45,5.14
442,Nigeria,Shinkafe,2,2018,176711,7.48,4.3
443,Nigeria,Kafarati,2,2022,96446,6.42,3.45
444,Nigeria,Bode Sadu,2,2022,198757,6.55,4.83
445,Nigeria,Tokombere,4,2020,62079,8.98,3.76
446,Nigeria,Matsena,1,2015,150998,8.51,2.74
447,Nigeria,Abeokuta,2,2022,70745,7.4,3.63
448,Nigeria,Uyo,4,2022,122128,8.37,3.35
449,Nigeria,Igbeti,4,2014,92494,7.84,5.09
450,Nigeria,Yamrat,2,2019,135118,6.57,4.84
451,Nigeria,Adani,4,2021,207605,8.49,3.53
452,Nigeria,Wasagu,1,2013,69078,8.82,4.32
453,Nigeria,Modakeke,2,2018,58396,8.81,3.31
454,Nigeria,Nassarawa,3,2022,220788,8.7,3.03
455,Nigeria,Jibiya,2,2023,63285,9.16,4.4
456,Nigeria,Kwali,1,2013,154796,7.96,3.96
457,Nigeria,Ikot-Ekpene,2,2016,175313,7.86,4.76
458,Nigeria,Omu Aran,4,2015,159885,8.15,4.88
459,Nigeria,Talata Mafara,5,2014,77461,8.61,5.24
460,Nigeria,Gumel,2,2015,123848,6.65,5.03
461,Nigeria,Ilesa,1,2022,242854,7.45,3.0
462,Nigeria,Ekpoma,3,2016,230514,7.24,4.13
463,Nigeria,Zungeru,2,2022,222931,8.99,3.08
464,Nigeria,Agbor,5,2014,193660,7.47,2.8
465,Nigeria,Oguta,3,2017,229626,8.37,3.16
